,Label,Type,Reference Model,13. No recdevs,14. recdevs_sR45,15. recdevs_sR75,16. Fec=wt,17. Dome-shaped_sel
120,NA,Main_RecrDev_2020,-0.00624832,NA,-0.00624832,-0.00624832,-0.00622037,-0.00618183
121,NA,ForeRecr_2021,0,0,0,0,0,0
122,NA,ForeRecr_2022,0,NA,0,0,0,NA
123,NA,Impl_err_2021,0,0,0,0,0,0
124,NA,Impl_err_2022,0,NA,0,0,0,NA
125,NA,InitF_seas_1_flt_1Fishery,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20
126,NA,Size_DblN_peak_Fishery(1),44.2517,44.6503,44.2517,44.2517,44.2494,45.0043
127,NA,Size_DblN_top_logit_Fishery(1),15,15,15,15,15,-1.54259
128,NA,Size_DblN_ascend_se_Fishery(1),4.14135,4.1096,4.14135,4.14135,4.14077,4.24952
129,NA,Size_DblN_descend_se_Fishery(1),-15,-15,-15,-15,-15,-2.00661
130,NA,Size_DblN_start_logit_Fishery(1),-15,-15,-15,-15,-15,-15
131,NA,Size_DblN_end_logit_Fishery(1),15,15,15,15,15,2.18465
132,NA,Eggs/kg_inter_Fem_GP_1,NA,NA,NA,NA,1,NA
133,NA,Eggs/kg_slope_wt_Fem_GP_1,NA,NA,NA,NA,0,NA
8,Derived quantities,NA,NA,NA,NA,NA,NA,NA
134,NA,SB0,2.75756,2.76244,2.75756,2.75756,15.1143,2.95803
135,NA,SSB_2021,1.54792,1.37528,1.54792,1.54792,8.64483,1.63924
136,NA,Bratio_2021,0.561336,0.49785,0.561336,0.561336,0.571964,0.554165
137,NA,MSY_SPR,0.768618,0.804367,0.768618,0.768618,0.794886,0.743749
138,NA,F_SPR,0.0521243,0.0575572,0.0521243,0.0521243,0.0544739,0.0515153
